PROJ #,DATE ACTIVE,PROJECT NAME,"STRATA 
PLAN","# OF 
UNITS",PM,"ONSITE CONTACT
",STRATA TYPE,"INSURANCE
COMPANY","INSURANCE
EXPIRY (ANNIV)",DATE OF LAST FIRE INSPECTION,"DATE OF LAST
APPRAISAL",APPRAISAL CO. & CONTRACT YEAR,"LIEN
FEE",LIEN INVOICING CODES,"MOVE IN 
FEE","MOVE OUT 
FEE",RSERVICE,FISCAL YEAR END,AGM DEADLINE,LAST AGM HELD / WAIVER SIGNED
"2500
(50)",,RANCHO CORPORATE,,,CKS,,,,,,,,,,,,,,,
"2600
(98)",,ALLBRIGHT,,,CKS,,,COASTAL,,,,,,,,,,,,
5006,,"EXECUTIVE HOTELS  (RESIDENTIAL)
5911 Alderbridge 
Richmond, BC
V6X 1A3",LMS3174,121 Units,"CKS/KN  (KaWing is PM)
(AW is Admin)","Harald Kurtzke
gm.richmond@executivehotels.net
604-278-5555

Ivano Corazza
Phone: 604-207-7158
Email: operations.rmd@executivehotels.net 

(Send Owners List only at the end of each month and with every sale)",RESIDENTIAL SECTION,JT INSURANCE,31-Dec-25,,"Tuesday, December 31, 2024","NORMAC
Year 2 of 3",$200.00 ,PRO/DEVEL/XXXX,n/a,n/a,No,31-May,31-Jul,18-Oct-16
5015,,"AUGUSTA GROVE
1690 Augusta Avenue (A)
1750 Augusta Avenue (B)
Burnaby, BC
V5A 2V6",NW2225,80 Units,SY,"Dennis McCrossan (Building Manager)
604-209-6191 (office ? ok to give out)
778-321-3560 (cell ? do not give out)
augustagrove@rservice.ca ",NORMAL,Acera,12-Dec-25,24-Nov-15,"Thursday, December 12, 2024","NORMAC
Year 2 of 3",$200.00 ,,"$250.00

All new owners/tenants must pay a one-time move-in fee of $250.00 payable to the Strata Corporation upon move-in date.  This non-refundable fee is used to offset accidental damage done to the common areas when moving into the project. Any direct damage caused by a resident moving into the project will result in the resident being assessed the cost of remedying this damage. The amount of the move-in fee does not limit the amount of liability for damage caused on a move-in.",n/a,Yes,31-Dec,28-Feb,22-Feb-16
5016,,"VR1853
1200 West 10th Avenue
Vancouver, BC
V6H 1J3",VR1853,9 Units,SA,n/a,ACCOUNTING ONLY,Acera,27-May-26,25-Jun-15,"Tuesday, May 27, 2025","NORMAC
Year 2 of 3",$200.00 ,PRO/ACCTING/XXXX,n/a,n/a,No,31-Dec,28-Feb,23-Feb-16
5022,,"FISHER GARDENS
4933 Fisher Drive
Richmond, BC
V6X 3Z2",LMS2194,79 Units,SY,Contact PM,NORMAL,HUB,30-Dec-25,25-Mar-15,"Saturday, November 30, 2024","NORMAC
Year 1 of 3",$200.00 ,,n/a,n/a,No,31-Mar,31-May,25-May-16
5026,,"STONECROFT ESTATES
2350 Westerly Street
Abbotsford, BC
V2T 6T7",LMS3890,55 Units,CG,"Merle Wilson
604-854-3917
",NORMAL,BFL Canada,1-May-26,6-Dec-16,"Thursday, May 1, 2025","NORMAC
Year 1 of 3",$200.00 ,,$100.00 ,$100.00 ,No,31-Jul,30-Sep,29-Sep-16
5035,,"THE CLARKSON
680 Clarkson Street
New Westminster, BC
V3M 6X9",LMS3317,"60 Residential
5 Commercial",AM,"Marc Spagnut (Building Manager)
(778) 877-8863
theclarkson@rservice.ca",TYPES,HUB,10-Nov-25,27-Apr-15,"Sunday, November 10, 2024","NORMAC
Year 2 of 3",$200.00 ,,$150.00 ,,Yes,31-Dec,28-Feb,22-Feb-16
5038,,"THE AQUARIUS COMMERCIAL
1108-1196 Pacific Blvd. 
125-179 Davie Street
1137 & 1177 Marinaside Crescent",LMS3912,36 Units,"TL
","Ted Galvin
tgalvin@allbrightservices.ca ",AIR SPACE PARCEL,BFL Canada,17-Jun-25,,"Tuesday, June 17, 2025","NORMAC
Year 2 of 3",,,,,No,31-May,31-Jul,29-Jun-16
5049,,"PORTOFINO (RESIDENTIAL)
1383 Howe Street
Vancouver, BC
V6Z 2R5",LMS1554,51 Units,"CKS/KN  (KaWing is PM)
(AW is Admin)","Hotel Manager: David Mangala
Phone: 604-688-7678
Direct: 604-696-6959
gm.vancouver@executivehotels.net
Bldg. Supervisor:Virgil
604-834-6289
",RESIDENTIAL SECTION,JT INSURANCE,31-Dec-25,28-Feb-15,"Tuesday, December 31, 2024","NORMAC
Year 2 of 3",$200.00 ,PRO/DEVEL/XXXX,,,No,31-Dec,28-Feb,25-Feb-16
