PROJ #,PROJECT NAME,"STRATA 
PLAN",PM
"2500
(50)",RANCHO CORPORATE,,CKS
"2600
(98)",ALLBRIGHT,,CKS
5006,"EXECUTIVE HOTELS  (RESIDENTIAL)
5911 Alderbridge 
Richmond, BC
V6X 1A3",LMS3174,"CKS/KN  (KaWing is PM)
(AW is Admin)"
5015,"AUGUSTA GROVE
1690 Augusta Avenue (A)
1750 Augusta Avenue (B)
Burnaby, BC
V5A 2V6",NW2225,SY
5016,"VR1853
1200 West 10th Avenue
Vancouver, BC
V6H 1J3",VR1853,SA
5022,"FISHER GARDENS
4933 Fisher Drive
Richmond, BC
V6X 3Z2",LMS2194,SY
5026,"STONECROFT ESTATES
2350 Westerly Street
Abbotsford, BC
V2T 6T7",LMS3890,CG
5035,"THE CLARKSON
680 Clarkson Street
New Westminster, BC
V3M 6X9",LMS3317,AM
5038,"THE AQUARIUS COMMERCIAL
1108-1196 Pacific Blvd. 
125-179 Davie Street
1137 & 1177 Marinaside Crescent",LMS3912,"TL
"
5049,"PORTOFINO (RESIDENTIAL)
1383 Howe Street
Vancouver, BC
V6Z 2R5",LMS1554,"CKS/KN  (KaWing is PM)
(AW is Admin)"
5061,"MARINASIDE RESORT RESIDENCES - JOINT
D-193 Aquarius Mews V6Z 2Z2 (5061-1)
E-1077 Marinaside Crescent V6Z 2Z5  (5061-2)
N-1099 Marinaside Crescent V6Z 2Z3 (5061-3)
123/133/163/183 Aquarius Mews V6Z 2Z1
128/168/178/188/198 Boathouse Mews V6Z 2Z6 (5061-4)
1090 Pacific Boulevard - Concierge",LMS4255,JL
