RESIDENTIAL MANAGEMENT MASTER LIST - RM ONLY,,,,,,,,,,
"March 4, 2026",,,,,,,,,,
PROJECT,FILE#,Unit #,ST. #,STREET,CITY,PM,ACCT,INS,NON-RESIDENT,
2,0202-01,1,6491,PRINCESS LANE,RMD,KH,Vanessa,NO,,
2,0218-01,5,7060,BLUNDELL ROAD,RMD,KH,Vanessa,,,
2,0218-02,HOUSE,7940,EPERSON ROAD,RMD,KH,Vanessa,,,
2,0218-03,HOUSE,8531,CANTLEY ROAD,RMD,KH,Vanessa,,,
2,0220-01,507,7328,GOLLNER AVE,RMD,KH,Vanessa,NO,NO,
2,0221-01,504,5151,BRIHOUSE WAY,RMD,KH,Vanessa,YES,,
2,0222-01,328,9399,TOMICKI AVENUE,RMD,KH,Vanessa,NO,YES,
2,0223-01,64,10199,RIVER DRIVE,RMD,KH,Vanessa,NO,NO,
2,0224-01,311,8600,ACKROYD ROAD,RMD,JR,Vanessa,YES,,
2,0226-01,808,7688,ALDERBRIDGE WAY,RMD,KH,Vanessa,YES,NO,
2,0227-01,509,6331,BUSWELL STREET,RMD,KH,Vanessa,YES,NO,
2,0228-01,CARETAKER,9333,ALEXANDRA CRT,RMD,KH,Vanessa,YES,NO,
2,0232-01,24,7180,LECHOW STREET,RMD,KH,Vanessa,NO,NO,
2,0234-01,9,12311,MCNEELY DRIVE,RMD,KH,Vanessa,YES,NO,
2,0235-01,309,6688,PEARSON WAY,RMD,KH,Vanessa,YES,NO,
2,0237-01,707,5900,ALDERBRIDGE WAY,RMD,KH,Vanessa,YES,NO,
2,0238-01,11,9728,ALBERTA ROAD,RMD,KH,Vanessa,NO,YES,
2,0239-01,606,6633,BUSWELL STREET,RMD,KH,Vanessa,YES,NO,
2,0240-01,911,6633,BUSWELL STREET,RMD,KH,Vanessa,YES,NO,
2,0248-01,703,8288,SABA ROAD,RMD,KH,Vanessa,YES,NO,
2,0249-01,HOUSE,9520,CAPSTAN WAY,RMD,KH,Vanessa,NO,NO,
2,0249-02,20,7311,MINORU BLVD,RMD,KH,Vanessa,YES,NO,
2,0250-01,302,9366,TOMICKI AVENUE,RMD,KH,Vanessa,YES,NO,
2,0251-01,102,9133,HEMLOCK DRIVE,RMD,KH,Vanessa,NO,NO,
2,0252-01,104,5500,ARCADIA ROAD,RMD,KH,Vanessa,NO,NO,
2,0253-01,1212,6808,MINORU BLVD,RMD,KH,Vanessa,YES,NO,
2,0254-01,1106,7338,GOLLNER AVE,RMD,KH,Vanessa,YES,NO,
2,0257-01,201,6200,MINORU BLVD,RMD,KH,Vanessa,YES,NO,
2,0258-01,1100,8180,MCMYM WAY,RMD,KH,Vanessa,NO,NO,
2,0279-01,208,6828,ECKERSLEY ROAD,RMD,KH,Vanessa,YES,,
2,0281-01,515,5233,GILBERT ROAD,RMD,KH,Vanessa,YES,,
2,0282-01,618,7338,GOLLNER AVENUE,RMD,KH,Vanessa,YES,,
2,0283-01,605,5619,CEDARBRIDGE WAY,RMD,KH,Vanessa,YES,,
2,0284-01,1107,5233,GILBERT ROAD,RMD,KH,Vanessa,NO,,
2,0286-01,709,8180,LANSDOWNE ROAD,RMD,KH,Vanessa,YES,,
2,0287-01,601,7338,GOLLNER AVENUE,RMD,KH,Vanessa,YES,,
2,0292-01,806,7338,GOLLNER AVENUE,RMD,KH,Vanessa,NO,,
2,0293-01,1107,3333,CORVETTE WAY ,RMD,KH,Vanessa,YES,,
4,0410-01,52,36060,OLD YALE ROAD,ABB,CG,Vanessa,YES,,
4,0413-01,105,2038,SANDALWOOD CRESCENT,ABB,CG,Vanessa,YES,,
4,0421-01,HOUSE,4328,AUGUSTON PARKWAY North,ABB,CG,Vanessa,N/A,,
4,0422-01,HOUSE,6775,206 STREET,LGY,BW,Vanessa,N/A,,
4,0423-01,307,20219,54A AVENUE,LGY,BW,Vanessa,NO,,
4,0431-01,417,20728,WILLOUGHBY TOWN CENTRE DRIVE,LGY,BW,Vanessa,YES,,
4,0436-01,27,36060,OLD YALE ROAD,ABB,CG,Vanessa,YES,,
4,0436-02,64,36060,OLD YALE ROAD,ABB,CG,Vanessa,YES,,
4,0436-05,62,36060,OLD YALE ROAD,ABB,CG,Vanessa,YES,,
